Author,Numbers of Times of Author on List,Category,,,Category,Number of Times on Bestsellers List
Jeff Kinney,12,children's books,,,children's books,5
Gary Chapman,11,young adult,,,young adult,5
Rick Riordan,11,young adult,,,self-help,2
Suzanne Collins,11,self-help,,,reference,4
American Psychological Association,10,reference,,,crime journalism,1
Dr. Seuss,9,children's books,,,adult fiction,2
Gallup,9,reference,,,christian,1
Rob Elliott,8,children's book,,,,
Bill O'Reilly,7,young adult,,,,
Dav Pilkey,7,children's book,,,,
Eric Carle,7,children's book,,,,
Stephen R. Covey,7,crime journalism,,,,
Stephenie Meyer,7,self-help,,,,
Don Miguel Ruiz,6,young adult,,,,
E L James,6,adult fiction,,,,
Harper Lee,6,young adult,,,,
J.K. Rowling,6,adult fiction,,,,
Sarah Young,6,reference,,,,
Stieg Larsson,6,christian,,,,
The College Board,6,reference,,,,
Dale Carnegie,5,,,,,
Giles Andreae,5,,,,,
John Green,5,,,,,
John Grisham,5,,,,,
Laura Hillenbrand,5,,,,,
Patrick Lencioni,5,,,,,
R. J. Palacio,5,,,,,
Roger Priddy,5,,,,,
Charlaine Harris,4,,,,,
Emily Winfield Martin,4,,,,,
Jen Sincero,4,,,,,
Jim Collins,4,,,,,
Kathryn Stockett,4,,,,,
Malcolm Gladwell,4,,,,,
Marie Kondō,4,,,,,
Rod Campbell,4,,,,,
Rupi Kaur,4,,,,,
Stephen King,4,,,,,
Thug Kitchen,4,,,,,
Veronica Roth,4,,,,,
Brandon Stanton,3,,,,,
Carol S. Dweck,3,,,,,
Dan Brown,3,,,,,
Drew Daywalt,3,,,,,
F. Scott Fitzgerald,3,,,,,
Francis Chan,3,,,,,
George R.R. Martin,3,,,,,
Gillian Flynn,3,,,,,
Glenn Beck,3,,,,,
Ina Garten,3,,,,,
Margaret Wise Brown,3,,,,,
Mark Manson,3,,,,,
Melissa Hartwig Urban,3,,,,,
Rachel Hollis,3,,,,,
Rebecca Skloot,3,,,,,
Ree Drummond,3,,,,,
Walter Isaacson,3,,,,,
Wizards RPG Team,3,,,,,
Abraham Verghese,2,,,,,
American Psychiatric Association,2,,,,,
Amy Ramos,2,,,,,
Ann Voskamp,2,,,,,
Ann Whitford Paul,2,,,,,
Anthony Doerr,2,,,,,
B. J. Novak,2,,,,,
Bill Martin Jr.,2,,,,,
Blue Star Coloring,2,,,,,
Craig Smith,2,,,,,
Daniel James Brown,2,,,,,
Daniel Kahneman,2,,,,,
Daniel Lipkowitz,2,,,,,
David Platt,2,,,,,
David Zinczenko,2,,,,,
Deborah Diesen,2,,,,,
DK,2,,,,,
Donna Tartt,2,,,,,
Doug Lemov,2,,,,,
Dr. Steven R Gundry MD,2,,,,,
Eben Alexander,2,,,,,
Ernest Cline,2,,,,,
Fredrik Backman,2,,,,,
Garth Stein,2,,,,,
George R. R. Martin,2,,,,,
Greg Mortenson,2,,,,,
J. D. Vance,2,,,,,
J. K. Rowling,2,,,,,
James Patterson,2,,,,,
Jennifer Smith,2,,,,,
Joanna Gaines,2,,,,,
Joel Fuhrman MD,2,,,,,
Johanna Basford,2,,,,,
Kristin Hannah,2,,,,,
Laurel Randolph,2,,,,,
Lysa TerKeurst,2,,,,,
Marjorie Sarnat,2,,,,,
Mark R. Levin,2,,,,,
Markus Zusak,2,,,,,
Michelle Obama,2,,,,,
Naomi Kleinberg,2,,,,,
Paula Hawkins,2,,,,,
Ray Bradbury,2,,,,,
RH Disney,2,,,,,
Robert Munsch,2,,,,,
Rush Limbaugh,2,,,,,
Samin Nosrat,2,,,,,
Sandra Boynton,2,,,,,
Scholastic,2,,,,,
